,parameter,ave_acc,std_acc
0,2_0.04_200,0.9528000000000001,0.002874021572639975
1,4_0.08_384,0.7321,0.04875387164113227
2,6_0.11_564,0.81465,0.009436763216272823
3,8_0.15_736,0.8500500000000001,0.009421915941038745
4,10_0.19_900,0.6956,0.09121863844631754
