,parameter,ave_acc,std_acc
0,2_0.04_200,0.884,0.2172564153253017
1,4_0.08_384,0.8980500000000001,0.22129476383321864
2,6_0.11_564,0.5404500000000001,0.35975661564452155
3,8_0.15_736,0.6177,0.374065181485794
4,10_0.19_900,0.7645000000000001,0.34129144436976444
