,parameter,ave_acc,std_acc
0,2_0.004_1996,0.9962,0.004718050444834188
1,4_0.008_3984,0.9880000000000002,0.004117037770047786
2,6_0.012_5964,0.94255,0.06712691338055102
3,8_0.016_7936,0.9971500000000001,0.001688934575405452
4,10_0.02_9900,0.9932500000000001,0.0022500000000000102
