,parameter,ave_acc,std_acc
0,2_0.04_200,0.8083,0.28293048616223737
1,4_0.08_384,0.97765,0.02938541304797333
2,6_0.11_564,0.83355,0.29799886325286545
3,8_0.15_736,0.9925499999999999,0.008542394277952774
4,10_0.19_900,0.9974999999999999,0.0009746794344808972
