,parameter,ave_acc,std_acc
0,2_0.04_200,0.8120499999999999,0.01413232111155134
1,4_0.08_384,0.6568499999999999,0.039978150282372976
2,6_0.11_564,0.95755,0.0043327243161779775
3,8_0.15_736,0.8748999999999999,0.012212288892750613
4,10_0.19_900,0.79925,0.046268915051036155
