,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.0010499999999999954,2021-08-15 09:57:31.104956,2021-08-15 10:08:45.170998,0 days 00:11:14.066042,0.0011192087398870967,Adam,4.94870190244444e-07,COMPLETE
1,1,0.75,2021-08-15 10:08:45.171902,2021-08-15 10:19:57.296599,0 days 00:11:12.124697,1.0921216323998281e-05,Adagrad,2.4282985861275192e-08,COMPLETE
2,2,0.02929999999999988,2021-08-15 10:19:57.297561,2021-08-15 10:31:11.540251,0 days 00:11:14.242690,0.0005700424032060083,Adam,1.5006616012215813e-09,COMPLETE
3,3,0.5012000000000001,2021-08-15 10:31:11.541081,2021-08-15 10:42:24.083162,0 days 00:11:12.542081,0.009986142052745202,Adagrad,0.0008861283323454761,COMPLETE
4,4,0.75,2021-08-15 10:42:24.084076,2021-08-15 10:53:36.527676,0 days 00:11:12.443600,0.001429369523646886,Adagrad,1.714835287476249e-05,COMPLETE
5,5,0.75,2021-08-15 10:53:36.528533,2021-08-15 11:04:49.155531,0 days 00:11:12.626998,0.0003192614719140947,Adagrad,6.663566602526888e-08,COMPLETE
6,6,0.07574999999999987,2021-08-15 11:04:49.156292,2021-08-15 11:16:03.445767,0 days 00:11:14.289475,0.005840214877716362,Adam,4.967630778209868e-06,COMPLETE
7,7,0.010500000000000065,2021-08-15 11:16:03.446665,2021-08-15 11:27:18.211338,0 days 00:11:14.764673,0.0004896669341936819,Adam,3.395802264500786e-05,COMPLETE
8,8,0.75,2021-08-15 11:27:18.212188,2021-08-15 11:38:31.463100,0 days 00:11:13.250912,0.00041495029892570627,Adagrad,4.546161920939388e-06,COMPLETE
9,9,0.75,2021-08-15 11:38:31.463974,2021-08-15 11:49:46.000394,0 days 00:11:14.536420,0.00012256934368149212,Adagrad,8.099318970457816e-09,COMPLETE
