,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.0,2021-08-15 06:10:34.109980,2021-08-15 06:20:01.080426,0 days 00:09:26.970446,0.03939675608838693,Adagrad,2.245439861079948e-05,COMPLETE
1,1,0.6313,2021-08-15 06:20:01.081152,2021-08-15 06:29:28.350555,0 days 00:09:27.269403,0.014542780613231259,Adam,7.705322598694978e-05,COMPLETE
2,2,0.75,2021-08-15 06:29:28.351374,2021-08-15 06:38:57.227432,0 days 00:09:28.876058,1.1125026640221895e-05,Adam,1.891058489647661e-09,COMPLETE
3,3,0.0007500000000000284,2021-08-15 06:38:57.228308,2021-08-15 06:48:25.447799,0 days 00:09:28.219491,0.001440397916263662,Adam,1.447553411913397e-06,COMPLETE
4,4,0.005700000000000038,2021-08-15 06:48:25.448540,2021-08-15 06:57:54.561447,0 days 00:09:29.112907,0.00041455218309549075,Adam,1.4129669989701526e-10,COMPLETE
5,5,0.5,2021-08-15 06:57:54.562356,2021-08-15 07:07:23.345471,0 days 00:09:28.783115,6.703434862048936e-05,Adam,1.5515947845373277e-07,COMPLETE
6,6,0.00045000000000006146,2021-08-15 07:07:23.346245,2021-08-15 07:16:51.313621,0 days 00:09:27.967376,0.00242034475892542,Adam,1.5689182311125746e-06,COMPLETE
7,7,0.00024999999999997247,2021-08-15 07:16:51.314515,2021-08-15 07:26:16.841698,0 days 00:09:25.527183,0.024587738319830712,Adagrad,1.4678280350257493e-07,COMPLETE
8,8,0.38780000000000003,2021-08-15 07:26:16.842577,2021-08-15 07:35:42.196854,0 days 00:09:25.354277,0.002302193961954481,Adagrad,5.103242356149065e-09,COMPLETE
9,9,0.0,2021-08-15 07:35:42.197733,2021-08-15 07:45:07.242025,0 days 00:09:25.044292,0.05250491944435901,Adagrad,3.0386318688690905e-08,COMPLETE
