,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.22609999999999997,2021-08-15 07:45:07.249563,2021-08-15 07:55:51.233393,0 days 00:10:43.983830,0.0026842285254620587,Adam,2.1980140267096152e-05,COMPLETE
1,1,0.4867,2021-08-15 07:55:51.234287,2021-08-15 08:06:19.666653,0 days 00:10:28.432366,9.948413043176158e-05,Adagrad,7.433048721301261e-08,COMPLETE
2,2,0.0,2021-08-15 08:06:19.667387,2021-08-15 08:17:06.380706,0 days 00:10:46.713319,0.0002927109546728537,Adam,0.0001326711152270286,COMPLETE
3,3,0.42769999999999997,2021-08-15 08:17:06.381624,2021-08-15 08:27:37.049186,0 days 00:10:30.667562,8.167026328461736e-05,Adagrad,8.685975712244635e-08,COMPLETE
4,4,0.015450000000000075,2021-08-15 08:27:37.049910,2021-08-15 08:38:05.753305,0 days 00:10:28.703395,0.00042082444295469574,Adagrad,7.640872202951063e-07,COMPLETE
5,5,0.62695,2021-08-15 08:38:05.754015,2021-08-15 08:48:36.838909,0 days 00:10:31.084894,4.3422456347326625e-05,Adagrad,4.364594084778629e-10,COMPLETE
6,6,0.023700000000000165,2021-08-15 08:48:36.839743,2021-08-15 08:59:20.766013,0 days 00:10:43.926270,1.533504279598391e-05,Adam,1.345998543343654e-09,COMPLETE
7,7,0.002449999999999952,2021-08-15 08:59:20.766881,2021-08-15 09:09:50.411708,0 days 00:10:29.644827,0.0008132389214486112,Adagrad,6.807689515362953e-07,COMPLETE
8,8,0.0006500000000000394,2021-08-15 09:09:50.412593,2021-08-15 09:20:19.473420,0 days 00:10:29.060827,0.0027866060389516215,Adagrad,4.425165079710515e-08,COMPLETE
9,9,0.03710000000000002,2021-08-15 09:20:19.474145,2021-08-15 09:30:50.305118,0 days 00:10:30.830973,0.0005610304586152,Adagrad,2.0867750384888373e-05,COMPLETE
