,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.39965000000000006,2021-08-15 00:16:47.283081,2021-08-15 00:22:54.396942,0 days 00:06:07.113861,0.009148773469127687,Adagrad,1.5810207826775244e-10,COMPLETE
1,1,4.999999999988347e-05,2021-08-15 00:22:54.397603,2021-08-15 00:29:07.654851,0 days 00:06:13.257248,0.0026404379111063005,Adam,1.3421536566663961e-07,COMPLETE
2,2,0.00029999999999996696,2021-08-15 00:29:07.655773,2021-08-15 00:35:14.901652,0 days 00:06:07.245879,0.048502012412438365,Adagrad,0.0006971478799521081,COMPLETE
3,3,4.999999999988347e-05,2021-08-15 00:35:14.902388,2021-08-15 00:41:30.562563,0 days 00:06:15.660175,0.003782782229998828,Adam,0.0008816522316627951,COMPLETE
4,4,0.32655,2021-08-15 00:41:30.563206,2021-08-15 00:47:43.826368,0 days 00:06:13.263162,0.016841320225550772,Adam,4.015416889095026e-05,COMPLETE
5,5,0.0,2021-08-15 00:47:43.827274,2021-08-15 00:53:57.598707,0 days 00:06:13.771433,0.009357772666784869,Adam,1.9700507738152107e-09,COMPLETE
6,6,0.22404999999999986,2021-08-15 00:53:57.599431,2021-08-15 01:00:04.306299,0 days 00:06:06.706868,0.018038428215853816,Adagrad,8.368335458261438e-08,COMPLETE
7,7,0.000200000000000089,2021-08-15 01:00:04.306958,2021-08-15 01:06:11.697489,0 days 00:06:07.390531,0.038985698036935544,Adagrad,1.4543145906358118e-07,COMPLETE
8,8,0.0,2021-08-15 01:06:11.698376,2021-08-15 01:12:27.137945,0 days 00:06:15.439569,0.007169750764081727,Adam,2.727398344205736e-10,COMPLETE
9,9,0.34765,2021-08-15 01:12:27.138914,2021-08-15 01:18:35.095505,0 days 00:06:07.956591,0.016684505562924223,Adagrad,2.9196725051822543e-06,COMPLETE
