,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.2819499999999999,2021-08-14 18:09:11.097358,2021-08-14 18:12:10.275151,0 days 00:02:59.177793,0.00012288540903443096,Adam,2.3749836695992035e-08,COMPLETE
1,1,0.27969999999999995,2021-08-14 18:12:10.276031,2021-08-14 18:15:08.825702,0 days 00:02:58.549671,0.00017881128082008652,Adam,0.000997277335471337,COMPLETE
2,2,0.15254999999999996,2021-08-14 18:15:08.826358,2021-08-14 18:18:08.589172,0 days 00:02:59.762814,0.010411584442197063,Adam,3.7971434529705577e-07,COMPLETE
3,3,0.10110000000000008,2021-08-14 18:18:08.589835,2021-08-14 18:21:01.773530,0 days 00:02:53.183695,0.03168057273898427,Adagrad,5.243285789066696e-06,COMPLETE
4,4,0.012899999999999912,2021-08-14 18:21:01.774175,2021-08-14 18:24:01.337755,0 days 00:02:59.563580,0.004813770459823452,Adam,1.3196508023760487e-07,COMPLETE
5,5,0.1945,2021-08-14 18:24:01.338450,2021-08-14 18:27:01.871259,0 days 00:03:00.532809,0.0007715491148959949,Adam,8.796317633561217e-09,COMPLETE
6,6,0.03145000000000009,2021-08-14 18:27:01.871917,2021-08-14 18:30:02.623169,0 days 00:03:00.751252,0.002281764346575526,Adam,5.5174889091711973e-08,COMPLETE
7,7,0.15864999999999996,2021-08-14 18:30:02.623831,2021-08-14 18:33:03.193431,0 days 00:03:00.569600,0.0010855861476264175,Adam,0.0008310756471583332,COMPLETE
8,8,0.05745,2021-08-14 18:33:03.194147,2021-08-14 18:35:54.837699,0 days 00:02:51.643552,0.08030858358749819,Adagrad,1.3614071626265256e-08,COMPLETE
9,9,0.016000000000000014,2021-08-14 18:35:54.838354,2021-08-14 18:38:54.462217,0 days 00:02:59.623863,0.010259216252900633,Adam,2.1044300387014157e-08,COMPLETE
