,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.72155,2021-08-14 15:43:17.373936,2021-08-14 15:45:58.025935,0 days 00:02:40.651999,0.0008431232604630925,Adagrad,0.00030609801422693726,COMPLETE
1,1,0.5080500000000001,2021-08-14 15:45:58.026789,2021-08-14 15:48:45.816768,0 days 00:02:47.789979,0.05012042217407817,Adam,3.6758389996665257e-06,COMPLETE
2,2,0.1894499999999999,2021-08-14 15:48:45.817415,2021-08-14 15:51:34.772896,0 days 00:02:48.955481,0.019458965334199763,Adam,8.15871110411704e-07,COMPLETE
3,3,0.75,2021-08-14 15:51:34.773520,2021-08-14 15:54:14.558584,0 days 00:02:39.785064,0.0002477749851514099,Adagrad,1.1070708316569271e-05,COMPLETE
4,4,0.7496,2021-08-14 15:54:14.559219,2021-08-14 15:56:54.387906,0 days 00:02:39.828687,0.0006233397913208223,Adagrad,0.0001497170295913881,COMPLETE
5,5,0.0454500000000001,2021-08-14 15:56:54.388539,2021-08-14 15:59:36.844330,0 days 00:02:42.455791,0.021012086866329868,Adagrad,1.0960134696350458e-09,COMPLETE
6,6,0.3646499999999999,2021-08-14 15:59:36.845135,2021-08-14 16:02:25.934484,0 days 00:02:49.089349,6.0996185453045183e-05,Adam,1.4466064393018466e-08,COMPLETE
7,7,0.045050000000000034,2021-08-14 16:02:25.935262,2021-08-14 16:05:14.029889,0 days 00:02:48.094627,0.0007871828309964399,Adam,9.647932725300744e-05,COMPLETE
8,8,0.75,2021-08-14 16:05:14.030533,2021-08-14 16:08:00.515989,0 days 00:02:46.485456,1.2499516514165814e-05,Adam,0.0005330785556754758,COMPLETE
9,9,0.21809999999999996,2021-08-14 16:08:00.516622,2021-08-14 16:10:40.025669,0 days 00:02:39.509047,0.0029145259969389314,Adagrad,1.0111238929147279e-05,COMPLETE
