,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.75,2021-08-14 19:25:11.126788,2021-08-14 19:28:19.982054,0 days 00:03:08.855266,2.9057820269339828e-05,Adam,2.0520493194979584e-07,COMPLETE
1,1,0.75,2021-08-14 19:28:19.982952,2021-08-14 19:31:22.985236,0 days 00:03:03.002284,1.049241916486583e-05,Adagrad,5.887265612865626e-06,COMPLETE
2,2,0.75,2021-08-14 19:31:22.985904,2021-08-14 19:34:24.869894,0 days 00:03:01.883990,0.00029568960465002717,Adagrad,4.051328875686308e-09,COMPLETE
3,3,0.37170000000000014,2021-08-14 19:34:24.870556,2021-08-14 19:37:27.067603,0 days 00:03:02.197047,0.00271266726551293,Adagrad,1.3439243088945433e-06,COMPLETE
4,4,0.25529999999999997,2021-08-14 19:37:27.068258,2021-08-14 19:40:29.239425,0 days 00:03:02.171167,0.0031282036498457284,Adagrad,3.468963454626202e-08,COMPLETE
5,5,0.75,2021-08-14 19:40:29.240335,2021-08-14 19:43:38.883200,0 days 00:03:09.642865,2.517154715491042e-05,Adam,1.9681535381314286e-10,COMPLETE
6,6,0.17385000000000006,2021-08-14 19:43:38.884067,2021-08-14 19:46:41.902597,0 days 00:03:03.018530,0.030140808710962533,Adagrad,4.539867929508605e-06,COMPLETE
7,7,0.14239999999999997,2021-08-14 19:46:41.903397,2021-08-14 19:49:52.929687,0 days 00:03:11.026290,0.001066831611448573,Adam,2.4721902954024867e-05,COMPLETE
8,8,0.75,2021-08-14 19:49:52.930562,2021-08-14 19:53:02.408917,0 days 00:03:09.478355,1.1780048303304653e-05,Adam,2.1934723961760286e-09,COMPLETE
9,9,0.75,2021-08-14 19:53:02.409636,2021-08-14 19:56:04.777066,0 days 00:03:02.367430,0.0011046428127900918,Adagrad,4.3425986810914835e-10,COMPLETE
