,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.7000500000000001,2021-08-14 16:10:40.034393,2021-08-14 16:14:45.991098,0 days 00:04:05.956705,1.3497516883200986e-05,Adagrad,2.5152868409522624e-06,COMPLETE
1,1,0.12200000000000011,2021-08-14 16:14:45.991740,2021-08-14 16:19:06.991002,0 days 00:04:20.999262,0.0041346464755884355,Adam,1.413817610426447e-07,COMPLETE
2,2,0.72585,2021-08-14 16:19:06.991637,2021-08-14 16:23:12.340048,0 days 00:04:05.348411,1.3168270630379326e-05,Adagrad,3.481442752646232e-10,COMPLETE
3,3,0.11560000000000004,2021-08-14 16:23:12.340675,2021-08-14 16:27:19.147647,0 days 00:04:06.806972,0.0005801123627224228,Adagrad,4.468893922998759e-07,COMPLETE
4,4,0.047150000000000025,2021-08-14 16:27:19.148467,2021-08-14 16:31:41.650332,0 days 00:04:22.501865,0.0029739660471101445,Adam,1.5322041253889305e-08,COMPLETE
5,5,0.3315499999999999,2021-08-14 16:31:41.651193,2021-08-14 16:36:03.535027,0 days 00:04:21.883834,0.005156636717162376,Adam,4.941720461462603e-09,COMPLETE
6,6,0.6436499999999999,2021-08-14 16:36:03.535671,2021-08-14 16:40:11.981154,0 days 00:04:08.445483,4.5145200977592406e-05,Adagrad,0.00010265491984809376,COMPLETE
7,7,0.08110000000000017,2021-08-14 16:40:11.981796,2021-08-14 16:44:32.392877,0 days 00:04:20.411081,8.515744420353917e-05,Adam,7.0607428602525124e-06,COMPLETE
8,8,0.6953,2021-08-14 16:44:32.393525,2021-08-14 16:48:52.355812,0 days 00:04:19.962287,0.01293971746759757,Adam,2.1714283027361014e-09,COMPLETE
9,9,0.19989999999999986,2021-08-14 16:48:52.356452,2021-08-14 16:53:14.016615,0 days 00:04:21.660163,1.1062521458027771e-05,Adam,1.056817615656788e-06,COMPLETE
