,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.1876000000000001,2021-08-15 02:56:20.554631,2021-08-15 03:04:03.836736,0 days 00:07:43.282105,0.010348580427123938,Adagrad,5.416474696628189e-08,COMPLETE
1,1,0.0,2021-08-15 03:04:03.837606,2021-08-15 03:11:47.365328,0 days 00:07:43.527722,0.06729032840366345,Adagrad,1.104780033331101e-10,COMPLETE
2,2,0.07519999999999993,2021-08-15 03:11:47.366026,2021-08-15 03:19:38.392271,0 days 00:07:51.026245,0.0002930545955987624,Adam,4.249372137382739e-06,COMPLETE
3,3,0.0013999999999999568,2021-08-15 03:19:38.392981,2021-08-15 03:27:29.325064,0 days 00:07:50.932083,0.0010324654373198587,Adam,1.3712916475010797e-06,COMPLETE
4,4,0.75,2021-08-15 03:27:29.325927,2021-08-15 03:35:11.447321,0 days 00:07:42.121394,0.00025968497188429336,Adagrad,9.031311015187102e-08,COMPLETE
5,5,0.08270000000000022,2021-08-15 03:35:11.448001,2021-08-15 03:43:04.433823,0 days 00:07:52.985822,0.0015079749766452354,Adam,5.07976832307396e-10,COMPLETE
6,6,0.14079999999999993,2021-08-15 03:43:04.434511,2021-08-15 03:50:52.834079,0 days 00:07:48.399568,0.0003361781755838311,Adam,1.3050883574174043e-08,COMPLETE
7,7,0.75,2021-08-15 03:50:52.834760,2021-08-15 03:58:35.771346,0 days 00:07:42.936586,1.07990981815712e-05,Adagrad,1.894666949105413e-05,COMPLETE
8,8,0.0,2021-08-15 03:58:35.772040,2021-08-15 04:06:30.029751,0 days 00:07:54.257711,0.010406897509477106,Adam,0.0009679056151558801,COMPLETE
9,9,0.69695,2021-08-15 04:06:30.030507,2021-08-15 04:14:23.369186,0 days 00:07:53.338679,0.04929918588210261,Adam,4.442539277508398e-06,COMPLETE
