,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.18904999999999994,2021-08-14 22:55:43.527699,2021-08-14 23:02:45.512668,0 days 00:07:01.984969,0.004626108481312461,Adam,2.2936147654029788e-10,COMPLETE
1,1,0.7001999999999999,2021-08-14 23:02:45.513360,2021-08-14 23:09:48.839987,0 days 00:07:03.326627,0.02623919819791218,Adam,9.567771709815975e-08,COMPLETE
2,2,0.013499999999999956,2021-08-14 23:09:48.840725,2021-08-14 23:16:34.025496,0 days 00:06:45.184771,0.007115543536011509,Adagrad,3.726181510056078e-05,COMPLETE
3,3,0.7503500000000001,2021-08-14 23:16:34.026261,2021-08-14 23:23:38.268317,0 days 00:07:04.242056,0.08220825043079602,Adam,3.5786057765450286e-05,COMPLETE
4,4,0.07539999999999991,2021-08-14 23:23:38.269041,2021-08-14 23:30:26.374734,0 days 00:06:48.105693,0.00048046620646694774,Adagrad,4.6151291912466416e-10,COMPLETE
5,5,0.08729999999999993,2021-08-14 23:30:26.375441,2021-08-14 23:37:13.956138,0 days 00:06:47.580697,0.00022154815157295925,Adagrad,0.00010177645398366024,COMPLETE
6,6,0.06264999999999987,2021-08-14 23:37:13.956854,2021-08-14 23:44:02.444600,0 days 00:06:48.487746,0.0008109395051502506,Adagrad,0.0007844623079116238,COMPLETE
7,7,0.07679999999999987,2021-08-14 23:44:02.445322,2021-08-14 23:50:48.380160,0 days 00:06:45.934838,0.011972628065030633,Adagrad,4.276327209615862e-06,COMPLETE
8,8,0.6396999999999999,2021-08-14 23:50:48.381080,2021-08-14 23:57:35.912614,0 days 00:06:47.531534,3.625560757724477e-05,Adagrad,2.441672786012458e-10,COMPLETE
9,9,0.07895000000000008,2021-08-14 23:57:35.913353,2021-08-15 00:04:38.903466,0 days 00:07:02.990113,1.150661545519878e-05,Adam,5.602109306477911e-06,COMPLETE
