,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.09084999999999999,2021-08-14 19:56:04.784552,2021-08-14 20:00:33.007251,0 days 00:04:28.222699,0.005020867850266117,Adagrad,6.038396712361853e-10,COMPLETE
1,1,0.752,2021-08-14 20:00:33.008113,2021-08-14 20:05:17.834895,0 days 00:04:44.826782,0.07907021192174395,Adam,0.0007970315785969841,COMPLETE
2,2,0.7235,2021-08-14 20:05:17.835627,2021-08-14 20:09:46.081869,0 days 00:04:28.246242,4.550845358532575e-05,Adagrad,0.0007163754008853828,COMPLETE
3,3,0.75005,2021-08-14 20:09:46.082709,2021-08-14 20:14:28.872873,0 days 00:04:42.790164,0.009782685031759466,Adam,1.4038205728872723e-07,COMPLETE
4,4,0.025899999999999812,2021-08-14 20:14:28.873729,2021-08-14 20:18:56.562502,0 days 00:04:27.688773,0.002570668999054031,Adagrad,5.6092470064791226e-06,COMPLETE
5,5,0.7512,2021-08-14 20:18:56.563173,2021-08-14 20:23:37.039922,0 days 00:04:40.476749,0.07997746739656691,Adam,1.0095628637455722e-10,COMPLETE
6,6,0.7498,2021-08-14 20:23:37.040954,2021-08-14 20:28:19.783895,0 days 00:04:42.742941,0.0570655399110194,Adam,1.9239704141713936e-08,COMPLETE
7,7,0.75395,2021-08-14 20:28:19.784566,2021-08-14 20:32:49.129747,0 days 00:04:29.345181,1.5578166470915573e-05,Adagrad,8.920073680979264e-06,COMPLETE
8,8,0.03984999999999983,2021-08-14 20:32:49.130418,2021-08-14 20:37:18.690579,0 days 00:04:29.560161,0.0053678431424532365,Adagrad,4.1395856958117104e-05,COMPLETE
9,9,0.74895,2021-08-14 20:37:18.691444,2021-08-14 20:42:02.146857,0 days 00:04:43.455413,0.042988368313447614,Adam,4.992064042172263e-10,COMPLETE
