,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.70255,2021-08-14 18:38:54.469553,2021-08-14 18:43:12.786611,0 days 00:04:18.317058,3.684850953437903e-05,Adagrad,6.349707505430793e-09,COMPLETE
1,1,0.52915,2021-08-14 18:43:12.787281,2021-08-14 18:47:47.680791,0 days 00:04:34.893510,0.004737732101666327,Adam,1.0072921539105443e-09,COMPLETE
2,2,0.05789999999999984,2021-08-14 18:47:47.681464,2021-08-14 18:52:21.684636,0 days 00:04:34.003172,8.518730376609523e-05,Adam,9.667346175794879e-05,COMPLETE
3,3,0.43735,2021-08-14 18:52:21.685417,2021-08-14 18:56:56.411369,0 days 00:04:34.725952,1.0040138707392186e-05,Adam,2.145872130108029e-05,COMPLETE
4,4,0.71485,2021-08-14 18:56:56.412126,2021-08-14 19:01:15.229708,0 days 00:04:18.817582,5.029500448727925e-05,Adagrad,3.0445777519641793e-07,COMPLETE
5,5,0.1362,2021-08-14 19:01:15.230436,2021-08-14 19:05:49.312484,0 days 00:04:34.082048,1.9726711002275448e-05,Adam,1.5305715892094265e-06,COMPLETE
6,6,0.02815000000000012,2021-08-14 19:05:49.313160,2021-08-14 19:10:23.082559,0 days 00:04:33.769399,0.00088801241833324,Adam,3.008778264701575e-10,COMPLETE
7,7,0.5696,2021-08-14 19:10:23.083238,2021-08-14 19:14:43.042589,0 days 00:04:19.959351,0.00013827883686737903,Adagrad,2.846601902878358e-09,COMPLETE
8,8,0.11104999999999998,2021-08-14 19:14:43.043368,2021-08-14 19:19:03.051241,0 days 00:04:20.007873,0.0007977608215445234,Adagrad,5.090529836574915e-08,COMPLETE
9,9,0.04190000000000005,2021-08-14 19:19:03.052079,2021-08-14 19:23:19.936979,0 days 00:04:16.884900,0.004291319248122296,Adagrad,0.00013450766350964912,COMPLETE
