,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.0006999999999999229,2021-08-15 04:14:23.376937,2021-08-15 04:23:42.576906,0 days 00:09:19.199969,0.007565567222070733,Adagrad,0.0009825179260707414,COMPLETE
1,1,0.0005499999999999394,2021-08-15 04:23:42.577610,2021-08-15 04:33:10.243915,0 days 00:09:27.666305,0.00031164486618690836,Adam,2.27534088569076e-06,COMPLETE
2,2,0.003449999999999953,2021-08-15 04:33:10.244644,2021-08-15 04:42:26.973638,0 days 00:09:16.728994,0.001528855529693555,Adagrad,3.127301153937253e-06,COMPLETE
3,3,0.02664999999999984,2021-08-15 04:42:26.974400,2021-08-15 04:51:56.614636,0 days 00:09:29.640236,1.598494853333435e-05,Adam,4.478247913658121e-07,COMPLETE
4,4,0.6109,2021-08-15 04:51:56.615358,2021-08-15 05:01:27.016651,0 days 00:09:30.401293,0.008563402732988027,Adam,8.4927893603491e-09,COMPLETE
5,5,0.0008000000000001339,2021-08-15 05:01:27.017628,2021-08-15 05:10:58.389080,0 days 00:09:31.371452,9.619130537603177e-05,Adam,0.0002356791980391111,COMPLETE
6,6,0.00024999999999997247,2021-08-15 05:10:58.389869,2021-08-15 05:20:29.313764,0 days 00:09:30.923895,0.0010927689356325363,Adam,1.5604522284033432e-07,COMPLETE
7,7,0.15084999999999993,2021-08-15 05:20:29.314725,2021-08-15 05:29:43.570602,0 days 00:09:14.255877,0.017535389084726582,Adagrad,3.978146842387464e-09,COMPLETE
8,8,0.08215000000000006,2021-08-15 05:29:43.571567,2021-08-15 05:39:13.180720,0 days 00:09:29.609153,0.0016040476764613402,Adam,6.078431972449139e-06,COMPLETE
9,9,0.5946,2021-08-15 05:39:13.181551,2021-08-15 05:48:30.494442,0 days 00:09:17.312891,0.0396466427903956,Adagrad,3.2873226933133335e-08,COMPLETE
