,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.05184999999999995,2021-08-14 22:09:17.435620,2021-08-14 22:13:54.460225,0 days 00:04:37.024605,0.0001558471788608205,Adam,0.0007089673181538873,COMPLETE
1,1,0.060900000000000176,2021-08-14 22:13:54.460907,2021-08-14 22:18:28.748265,0 days 00:04:34.287358,0.008621951211643056,Adagrad,0.00012477569389912082,COMPLETE
2,2,0.27885000000000004,2021-08-14 22:18:28.749147,2021-08-14 22:23:10.457521,0 days 00:04:41.708374,4.491052795954188e-05,Adam,2.4256259291595573e-05,COMPLETE
3,3,0.4978,2021-08-14 22:23:10.458190,2021-08-14 22:27:51.820350,0 days 00:04:41.362160,5.856393795689126e-05,Adam,1.609939575432049e-06,COMPLETE
4,4,5.0000000000105516e-05,2021-08-14 22:27:51.821153,2021-08-14 22:32:34.723440,0 days 00:04:42.902287,0.004614247171034364,Adam,1.0315198600987861e-07,COMPLETE
5,5,0.0,2021-08-14 22:32:34.724172,2021-08-14 22:37:14.974950,0 days 00:04:40.250778,0.007425533314594431,Adam,0.00012589646875331987,COMPLETE
6,6,0.75,2021-08-14 22:37:14.975627,2021-08-14 22:41:49.286123,0 days 00:04:34.310496,0.00028808802476743407,Adagrad,5.038454977598197e-09,COMPLETE
7,7,9.999999999998899e-05,2021-08-14 22:41:49.286787,2021-08-14 22:46:24.563917,0 days 00:04:35.277130,0.029545198991637607,Adagrad,1.15209282248787e-10,COMPLETE
8,8,0.5,2021-08-14 22:46:24.564630,2021-08-14 22:51:06.926029,0 days 00:04:42.361399,3.177907507740128e-05,Adam,1.713175226600831e-10,COMPLETE
9,9,4.999999999988347e-05,2021-08-14 22:51:06.926703,2021-08-14 22:55:43.520002,0 days 00:04:36.593299,0.09459855150887599,Adagrad,0.00022388482840893185,COMPLETE
