,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.018900000000000028,2021-08-14 21:15:58.260633,2021-08-14 21:20:41.656527,0 days 00:04:43.395894,6.159413084630664e-05,Adam,3.6539251848811205e-05,COMPLETE
1,1,0.0048000000000001375,2021-08-14 21:20:41.657200,2021-08-14 21:25:26.246179,0 days 00:04:44.588979,0.0001176598794030613,Adam,5.008633902941326e-05,COMPLETE
2,2,0.13380000000000014,2021-08-14 21:25:26.246849,2021-08-14 21:30:07.655793,0 days 00:04:41.408944,1.5948346825971453e-05,Adam,1.2026645861231221e-08,COMPLETE
3,3,0.012450000000000072,2021-08-14 21:30:07.656473,2021-08-14 21:34:49.257821,0 days 00:04:41.601348,0.0001530767956400111,Adam,2.5420519301464216e-08,COMPLETE
4,4,0.74895,2021-08-14 21:34:49.258558,2021-08-14 21:39:15.482895,0 days 00:04:26.224337,1.6089563773938752e-05,Adagrad,0.0003291486225567667,COMPLETE
5,5,0.6924,2021-08-14 21:39:15.483631,2021-08-14 21:43:43.372112,0 days 00:04:27.888481,0.028611166082849884,Adagrad,0.00010428868470733945,COMPLETE
6,6,0.05725000000000002,2021-08-14 21:43:43.372787,2021-08-14 21:48:09.729811,0 days 00:04:26.357024,0.0006335737931236655,Adagrad,3.1619975260342517e-10,COMPLETE
7,7,0.4861,2021-08-14 21:48:09.730479,2021-08-14 21:52:36.576621,0 days 00:04:26.846142,0.00017521495072560003,Adagrad,1.4288213067220825e-09,COMPLETE
8,8,0.36205,2021-08-14 21:52:36.577298,2021-08-14 21:57:20.719236,0 days 00:04:44.141938,1.0088864739973621e-05,Adam,2.406506018087283e-10,COMPLETE
9,9,0.03775000000000017,2021-08-14 21:57:20.719921,2021-08-14 22:02:04.043284,0 days 00:04:43.323363,0.00011191213905429366,Adam,8.43968210648653e-05,COMPLETE
