,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.33115000000000006,2021-08-14 16:54:21.724117,2021-08-14 16:57:19.684312,0 days 00:02:57.960195,0.0006392141100224014,Adam,7.544194141673238e-10,COMPLETE
1,1,0.11530000000000007,2021-08-14 16:57:19.685036,2021-08-14 17:00:11.462180,0 days 00:02:51.777144,0.02911642029635885,Adagrad,7.216240699838686e-06,COMPLETE
2,2,0.058499999999999885,2021-08-14 17:00:11.462912,2021-08-14 17:03:09.889259,0 days 00:02:58.426347,0.017121715310957415,Adam,7.705866055387913e-08,COMPLETE
3,3,0.71975,2021-08-14 17:03:09.890190,2021-08-14 17:06:08.385559,0 days 00:02:58.495369,2.117330667443865e-05,Adam,3.0585376965628446e-10,COMPLETE
4,4,0.75,2021-08-14 17:06:08.386411,2021-08-14 17:09:01.484347,0 days 00:02:53.097936,0.00021868269300905164,Adagrad,1.9571380196970298e-07,COMPLETE
5,5,0.25040000000000007,2021-08-14 17:09:01.485278,2021-08-14 17:12:00.894249,0 days 00:02:59.408971,0.0006519047660662411,Adam,5.532216995703982e-05,COMPLETE
6,6,0.75,2021-08-14 17:12:00.894986,2021-08-14 17:14:51.325111,0 days 00:02:50.430125,6.627187422762149e-05,Adagrad,0.0005136451401185753,COMPLETE
7,7,0.38944999999999996,2021-08-14 17:14:51.326032,2021-08-14 17:17:41.692372,0 days 00:02:50.366340,0.006242914383181191,Adagrad,2.137145267378356e-06,COMPLETE
8,8,0.10784999999999978,2021-08-14 17:17:41.693322,2021-08-14 17:20:32.108569,0 days 00:02:50.415247,0.04295332562461118,Adagrad,2.90571381907309e-06,COMPLETE
9,9,0.33585,2021-08-14 17:20:32.109491,2021-08-14 17:23:31.159501,0 days 00:02:59.050010,0.0005108295841415238,Adam,5.43634987889875e-05,COMPLETE
