,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.69485,2021-08-15 01:18:35.103140,2021-08-15 01:26:44.411305,0 days 00:08:09.308165,0.008647422757775686,Adam,2.8476040952363426e-08,COMPLETE
1,1,0.75335,2021-08-15 01:26:44.411978,2021-08-15 01:34:55.111503,0 days 00:08:10.699525,0.045522199232639435,Adam,1.3715233180960177e-09,COMPLETE
2,2,0.04534999999999978,2021-08-15 01:34:55.112190,2021-08-15 01:42:51.246959,0 days 00:07:56.134769,0.00037124463259398876,Adagrad,3.844744844371129e-06,COMPLETE
3,3,0.01519999999999988,2021-08-15 01:42:51.247799,2021-08-15 01:51:03.740877,0 days 00:08:12.493078,0.001892249879549403,Adam,2.425231345494162e-06,COMPLETE
4,4,0.2761,2021-08-15 01:51:03.741546,2021-08-15 01:58:56.934266,0 days 00:07:53.192720,0.0001845163737293559,Adagrad,4.2724922284357913e-10,COMPLETE
5,5,0.062100000000000044,2021-08-15 01:58:56.934931,2021-08-15 02:07:06.810188,0 days 00:08:09.875257,1.1379435026799139e-05,Adam,1.1043494337320941e-10,COMPLETE
6,6,0.008800000000000141,2021-08-15 02:07:06.811092,2021-08-15 02:15:04.602848,0 days 00:07:57.791756,0.00221329891541922,Adagrad,5.411850245575548e-07,COMPLETE
7,7,0.7534000000000001,2021-08-15 02:15:04.603668,2021-08-15 02:23:15.033376,0 days 00:08:10.429708,0.06746647309268747,Adam,1.0361620914040409e-08,COMPLETE
8,8,0.002949999999999897,2021-08-15 02:23:15.034166,2021-08-15 02:31:26.230699,0 days 00:08:11.196533,0.001854641034797032,Adam,0.0006828295314157364,COMPLETE
9,9,0.062100000000000044,2021-08-15 02:31:26.231372,2021-08-15 02:39:20.974725,0 days 00:07:54.743353,0.0002785120459648044,Adagrad,1.9770958868742282e-10,COMPLETE
