,number,value,datetime_start,datetime_complete,duration,params_adam_lr,params_optimizer,params_weight_decay,state
0,0,0.022150000000000114,2021-08-14 17:23:31.167258,2021-08-14 17:28:06.699257,0 days 00:04:35.531999,0.00041720680632352644,Adam,1.0116930330825965e-10,COMPLETE
1,1,0.31295000000000006,2021-08-14 17:28:06.700172,2021-08-14 17:32:27.407716,0 days 00:04:20.707544,0.00026914210883949877,Adagrad,1.9895004697611714e-07,COMPLETE
2,2,0.20409999999999995,2021-08-14 17:32:27.408491,2021-08-14 17:36:48.685335,0 days 00:04:21.276844,0.014546065341405366,Adagrad,4.419471941208723e-09,COMPLETE
3,3,0.09830000000000005,2021-08-14 17:36:48.686047,2021-08-14 17:41:08.647195,0 days 00:04:19.961148,0.0019646021370347,Adagrad,9.925915819787467e-06,COMPLETE
4,4,0.7328,2021-08-14 17:41:08.647914,2021-08-14 17:45:30.746473,0 days 00:04:22.098559,1.4425531496625597e-05,Adagrad,2.2731114198276807e-07,COMPLETE
5,5,0.1189,2021-08-14 17:45:30.747234,2021-08-14 17:49:50.979761,0 days 00:04:20.232527,0.0007060732955723745,Adagrad,4.0200433334613345e-05,COMPLETE
6,6,0.1400499999999999,2021-08-14 17:49:50.980446,2021-08-14 17:54:11.585221,0 days 00:04:20.604775,0.008632120258595602,Adagrad,5.408177530505437e-09,COMPLETE
7,7,0.033849999999999936,2021-08-14 17:54:11.586093,2021-08-14 17:58:46.252589,0 days 00:04:34.666496,0.0011992424093848761,Adam,0.0001765333008744098,COMPLETE
8,8,0.7502,2021-08-14 17:58:46.253506,2021-08-14 18:03:23.236075,0 days 00:04:36.982569,0.01410150888583818,Adam,0.000914245721260599,COMPLETE
9,9,0.5173500000000001,2021-08-14 18:03:23.236817,2021-08-14 18:07:44.291131,0 days 00:04:21.054314,0.042934127971623444,Adagrad,0.00015366242542145148,COMPLETE
